PipelineRange,CurrentOppAmt,IsWon,QualifiedAmt,OwnerTitle,SalesOffice,SalesRegion,Industry,NumerOfEmployees,AccountScore,OppId,IsClosed,DaysPushed,MonthsOpen,OppClosedDate
p4-6,500,0,500,Senior Account Executive,Philadelphia,Mid Atlantic,Hospitals / Health Care,9906,70,0062S00000xJr1TQAS,0,0,3,6/30/2021
p0-3,269,0,NULL,Senior Account Executive,Newark,New York,Public Schools K-12,1421,56,0062S00000xIXwKQAW,1,19,1,10/19/2020
p7-9,35000,0,35000,Senior Account Executive,Los Angeles,SoCal,Entertainment,2300,72,0062S00000xIyHrQAK,0,0,5,6/30/2021
p0-3,153,0,153,Senior Account Executive,Boston,New England,Government,12280,91,0062S00000xIyI6QAK,1,0,0,10/31/2020
p4-6,5183,0,7516,Senior Account Executive,Salt Lake City,Rocky Mountain,Other,415,32,0062S00000xIyOsQAK,1,26,4,2/26/2021
p4-6,1356,0,500,Senior Account Executive,Miami,Southern,Retail,9400,76,0062S00000xIyvrQAC,0,30,5,3/31/2021
p0-3,265,1,132,Senior Account Executive,Milwaukee,Central,Healthcare,1900,61,0062S00000xIzG1QAK,1,1,1,11/25/2020
p0-3,1,1,1570,Senior Account Executive,Detroit,Mid Western,Chemicals,3300,80,0062S00000xIZmHQAW,1,0,0,9/25/2020
p4-6,1157,1,1200,Senior Account Executive,Pittsburgh,Mid Atlantic,Other,740,41,0064400000mokI8AAI,1,105,4,5/16/2018
p13+,1528,0,100,Senior Account Executive,Chicago Loop,Central,Other,597,95,0064400000moKPBAA2,1,898,30,7/17/2020
p0-3,500,0,500,Senior Account Executive,Richmond,Coastal,Utilities,275,33,0064400000mpLO1AAM,1,0,1,3/12/2018
p0-3,555,1,555,Senior Account Executive,Dallas,Red River,Other,22200,87,0064400000mpMqhAAE,1,21,0,2/22/2018
p0-3,44,1,28,Senior Account Executive,Charlotte,Coastal,Government,5011,76,0064400000mpnepAAA,1,7,0,3/8/2018
p0-3,2500,1,500,Senior Account Executive,Enterprise,Enterprise,Health Care,3200,65,0064400000mpO6CAAU,1,22,0,2/23/2018
p0-3,5500,0,11122,Senior Account Executive,Dallas,Red River,Utilities,6,22,0062S00000yxaz2QAA,0,31,1,3/31/2021
p4-6,500,0,500,Enterprise Account Executive,Enterprise,Enterprise,Finance,55311,96,0062S00000yxb7WQAQ,0,0,1,7/31/2021
p0-3,690,1,1560,Senior Account Executive,Dallas,Red River,Computer Software,2208,58,0062S00000yxbEMQAY,1,1,0,2/24/2021
p10-12,2000,0,2000,Senior Account Executive,Nashville,Coastal,Healthcare,233000,98,0062S00000yxbG8QAI,0,0,1,1/31/2022
p10-12,878,0,878,Senior Account Executive,Boston,New England,Fruit & Vegetable Processing,2000,80,0062S00000yxcSZQAY,0,0,1,1/31/2022
p0-3,3385,0,2221,Senior Account Executive,Philadelphia,Mid Atlantic,Financial Services,711,49,0062S00000yxcTrQAI,0,30,1,4/30/2021
p13+,237,1,500,Account Executive,Chicago,Central,Chemicals,1000,51,0064400000mp7UHAAY,1,930,32,10/16/2020
p10-12,1,0,1,Senior Account Executive,Birmingham,Southern,Transportation,0,21,0064400000mp87EAAQ,1,275,10,12/31/2018
p4-6,1000,0,NULL,Senior Account Executive,Phoenix,Rocky Mountain,Electronics,1400,49,0064400000mpcYHAAY,1,125,5,8/3/2018
p7-9,4285,0,5000,Senior Account Executive,Dallas,Red River,Retail,8600,96,0064400000mpe6bAAA,1,245,8,11/16/2018
p0-3,333,1,NULL,NULL,Columbus,Mid Western,Utilities,235,31,0064400000pjudkAAA,1,29,2,10/30/2018
p0-3,2958.75,0,NULL,Senior Account Executive,Tampa,Southern,Communications,112,24,0064400000pjv5qAAA,1,0,0,8/1/2018
p0-3,126,0,126,Senior Account Executive,Enterprise,Enterprise,Chemicals,125,30,0064400000pjv6nAAA,1,0,1,9/20/2018
p0-3,501,0,501,Director of Channel Sales,Enterprise,Enterprise,Technology,350,46,0064400000pjwBAAAY,1,0,0,8/31/2018
p4-6,5000,0,5000,Senior Account Executive,Dallas,Red River,Aerospace & Defense,6500,80,0064400000pjwDzAAI,1,151,6,2/28/2019
p4-6,1085,0,1085,NULL,Support,Customer Success,Other,1500,76,0064400000pjwFbAAI,1,122,4,12/31/2018
p13+,485,0,485,NULL,Dallas,Red River,Management Consulting,2500,57,0064400000pjx62AAA,1,549,19,3/30/2020
p13+,500,0,500,Senior Account Executive,Tampa,Southern,Retail,3400,50,0064400000pjxsLAAQ,1,296,19,3/22/2020
p7-9,500,0,500,Senior Account Executive,Charlotte,Coastal,Manufacturing,2100,67,0064400000pjygbAAA,1,212,9,5/31/2019
p0-3,5000,0,500,Senior Account Executive,Charlotte,Coastal,Education Sector,11893,71,0064400000pjygCAAQ,1,31,2,10/31/2018
p13+,1000,0,1000,Senior Account Executive,Chicago,Central,Manufacturing,3085,80,0064400000pMo0GAAS,1,189,13,6/7/2019
p0-3,500,0,500,Director of Channel Sales,Enterprise,Enterprise,Telecommunications,12,61,0064400000pMqktAAC,1,0,1,6/30/2018
p0-3,2616,0,500,Senior Account Executive,Newark,New York,Government,0,52,0064400000pMst1AAC,1,0,1,6/14/2018
p10-12,500,0,500,Senior Account Executive,Richmond,Coastal,Chemicals,750,48,0064400000pMsWRAA0,1,0,12,5/7/2019
p0-3,86,0,214,Senior Account Executive,Raleigh,Coastal,Government,500,20,0064400000pMtdxAAC,1,0,3,8/9/2018
p7-9,28092,0,NULL,NULL,Richmond,Coastal,Healthcare,7399,83,0064400000pMuCNAA0,1,184,7,12/31/2018
p10-12,1536,0,500,Senior Account Executive,San Antonio,Red River,Software Development & Design,1700,63,0064400000pMuXfAAK,1,301,10,3/28/2019
p13+,200,0,200,Senior Account Executive,Cincinnati,Mid Western,Other,350,81,0064400000pMignAAC,1,740,25,6/22/2020
p7-9,5000,0,NULL,Senior Account Executive,Phoenix,Rocky Mountain,Education,3650,21,0064400000pMiiPAAS,1,91,8,1/2/2019
p0-3,31635,0,NULL,Senior Account Executive,Long Island,New York,Technology,400,41,0064400000pMkgZAAS,1,0,2,7/6/2018
p13+,1445,0,NULL,Hardware Consultant/Sales,Grand Rapids,Mid Western,Consulting,121,27,0064400000pMkWZAA0,1,518,17,10/31/2019
p0-3,500,0,500,Senior Account Executive,Columbus,Mid Western,Government,400,19,0064400000pMoN0AAK,1,0,1,6/29/2018
p0-3,10,0,1,Senior Account Executive,Enterprise,Enterprise,Consulting,126,22,0064400000rNaEdAAK,1,0,2,12/12/2018
p13+,590,0,500,Senior Account Executive,San Antonio,Red River,Education,81260,78,0064400000rNbBpAAK,1,375,16,2/10/2020
p4-6,99,0,100,Internal Accounts Manager,Support,Customer Success,Technology,235,28,0064400000rNbldAAC,1,90,4,2/28/2019
p0-3,267,0,NULL,Hardware Consultant/Sales,Support,Customer Success,Retail,337,19,0064400000rNcdmAAC,1,0,0,10/31/2018
p0-3,1440,0,500,Senior Account Executive,Richmond,Coastal,Healthcare,28000,60,0064400000rNcTDAA0,1,0,2,12/31/2018
p0-3,300,0,300,Senior Account Executive,Phoenix,Rocky Mountain,Retail,10,19,0064400000rNdDVAA0,1,93,3,1/9/2019
p13+,3000,0,3000,Senior Account Executive,Enterprise,Enterprise,Retail,10,27,0064400000rNdn6AAC,1,291,15,1/16/2020
p0-3,330,1,-853,Regional Sales Manager,Charlotte,Coastal,Technology,35,24,0064400000rNeFjAAK,1,7,0,10/8/2018
p0-3,42,1,500,Senior Account Executive,Long Island,New York,Other,1931,58,0064400000q1VdCAAU,1,0,1,7/1/2018
p7-9,289,1,135,Senior Account Executive,Minneapolis,Central,Other,135,27,0064400000q1vniAAA,1,130,7,2/7/2019
p0-3,10,0,NULL,Senior Account Executive,Long Island,New York,Insurance,12150,96,0064400000q1zgaAAA,1,8,1,8/8/2018
p0-3,648,1,2000,Senior Account Executive,St Louis,Central,Education,3846,49,0064400000q1Zu5AAE,1,0,1,7/31/2018
p4-6,1001,1,NULL,Senior Account Executive,Detroit,Mid Western,Engineering,1600,63,0064400000q21cXAAQ,1,185,6,1/31/2019
p10-12,500,0,500,Senior Account Executive,Columbus,Mid Western,Apparel,12000,94,0064400000q21f7AAA,1,0,12,7/31/2019
p7-9,618,0,1000,Senior Account Executive,Dallas,Red River,Not For Profit,1807,67,0064400000q237WAAQ,1,212,9,4/30/2019
p0-3,50,0,50,Account Executive,Inside Sales,SMB,Colleges & Universities,450,28,0064400000q23ypAAA,1,30,2,9/30/2018
p0-3,500,0,500,Senior Account Executive,Long Island,New York,Technology,64,28,0064400000q246FAAQ,1,2,1,8/2/2018
p0-3,884,0,884,Senior Account Executive,Denver,Rocky Mountain,Biotechnology,2000,57,0064400000q25MBAAY,1,0,1,8/6/2018
p13+,583,0,1000,NULL,Dallas,Red River,Engineering,199,100,0064400000q26AzAAI,1,667,16,11/29/2019
p0-3,4082,1,500,Senior Account Executive,Charlotte,Coastal,Consulting,536,53,0064400000q27gFAAQ,1,30,2,9/30/2018
p0-3,100,1,250,Account Executive,Grand Rapids,Mid Western,Food & Beverage,400,45,0064400000rNiHBAA0,1,23,0,10/24/2018
p13+,500,0,500,NULL,Grand Rapids,Mid Western,Retail,760,53,0064400000rNiNxAAK,0,0,29,10/31/2023
p4-6,2467,0,4330,Regional Sales Team Lead,Atlanta,Southern,Healthcare,3750,70,0064400000rNivLAAS,1,22,6,4/22/2019
p0-3,436,0,NULL,Senior Account Executive,Miami,Southern,Banking,414,35,0064400000rNjaBAAS,1,92,3,1/31/2019
p0-3,2289,0,2289,NULL,Boston,New England,Consulting,9,28,0064400000rNjxKAAS,1,0,0,10/31/2018
p4-6,149,0,400,Internal Accounts Manager,Support,Customer Success,Technology,17,23,0064400000rNkiQAAS,1,154,6,4/22/2019
p13+,105,1,146,Senior Account Executive,Jacksonville,Southern,Technology,7800,85,0064400000rNku2AAC,1,392,13,11/27/2019
p7-9,390,1,200,Account Executive,Inside Sales,SMB,Electronics,378,28,0064400000rNl4gAAC,1,7,7,5/7/2019
p0-3,247,0,500,Internal Accounts Manager,Support,Customer Success,Insurance,50,57,0064400000rNLf0AAG,1,30,2,11/30/2018
p7-9,517,0,500,Senior Account Executive,Richmond,Coastal,Education,6414,49,0064400000rNlInAAK,1,12,9,7/12/2019
p0-3,105,1,100,Internal Accounts Manager,Support,Customer Success,Technology,125,28,0064400000rNMmeAAG,1,11,3,12/12/2018
p4-6,100,0,100,Internal Accounts Manager,Support,Customer Success,Technology,235,28,0064400000rNMnDAAW,1,59,5,2/28/2019
p0-3,1056,1,1,Regional Sales Team Lead,Atlanta,Southern,Technology,8000,85,0064400000pk2U3AAI,1,11,1,9/12/2018
p0-3,162,1,NULL,Senior Account Executive,Long Island,New York,Insurance,12150,96,0064400000pk2wVAAQ,1,0,0,8/1/2018
p0-3,379,1,500,NULL,Memphis,Coastal,Education,450,28,0064400000pk3VrAAI,1,63,3,11/30/2018
p0-3,28,0,79,Senior Account Executive,Chicago Loop,Central,Insurance,62000,96,0064400000pk46iAAA,1,28,1,9/28/2018
p0-3,2000,0,NULL,Senior Account Executive,Enterprise,Enterprise,Consulting,1100,51,0064400000pk58LAAQ,1,0,0,8/28/2018
p13+,500,0,500,Senior Account Executive,Richmond,Coastal,Consulting,1800,58,0064400000pk5iTAAQ,1,132,21,5/11/2020
p0-3,259,1,200,Senior Account Executive,Tampa,Southern,Government,292,22,0064400000pk5s9AAA,1,27,1,9/28/2018
p13+,500,0,NULL,Internal Accounts Manager,Support,Customer Success,Insurance,60,24,0064400000pk5YEAAY,1,0,15,11/27/2019
p10-12,500,0,500,Senior Account Executive,Boston,New England,Hospitals / Health Care,2600,61,0064400000q1VYgAAM,1,30,10,4/30/2019
p0-3,500,0,500,Senior Account Executive,Long Island,New York,Finance,2658,68,0064400000q1W5HAAU,1,0,0,6/25/2018
p0-3,128,0,500,Director of Channel Sales,Partnership,Channel Sales,Technology,3,19,0064400000q1WGyAAM,1,0,3,9/30/2018
p4-6,570,0,500,Senior Account Executive,Denver,Rocky Mountain,Education,1175,49,0064400000q1wiUAAQ,1,91,4,11/30/2018
p4-6,500,0,500,Senior Account Executive,Memphis,Coastal,Technology,7,28,0064400000q1wYPAAY,1,0,5,12/31/2018
p13+,200,0,NULL,Account Executive,Inside Sales,SMB,Steel Service Centers & Other Metal Whol,475,37,0064400000q1X7IAAU,1,937,31,1/22/2021
p4-6,44,0,NULL,Senior Account Executive,Chicago Loop,Central,Finance,520,71,0064400000q1XdlAAE,1,181,6,12/28/2018
p4-6,16417,0,5000,Account Executive,Grand Rapids,Mid Western,Engineering,1500,43,0064400000q1xETAAY,1,92,5,12/31/2018
p0-3,35,1,500,Senior Account Executive,Charlotte,Coastal,Manufacturing,5000,80,0064400000q1xfjAAA,1,22,0,7/23/2018
p0-3,500,0,500,Director of Channel Sales,Partnership,Channel Sales,Telecom / Communication Services,144500,94,0064400000q1YHWAA2,1,0,2,8/1/2018
p13+,500,0,NULL,DCR Specialist,Support,Customer Success,Healthcare,650,30,0064400000pN6pKAAS,1,0,25,6/7/2020
p0-3,308,0,500,Senior Account Executive,Long Island,New York,Insurance,9,24,0064400000pN6vmAAC,1,0,1,6/29/2018
p4-6,860,1,1,Senior Account Executive,Chicago Loop,Central,Insurance,62000,96,0064400000pN808AAC,1,30,5,11/30/2018
p0-3,720,1,200,Senior Account Executive,Milwaukee,Central,Education,320,28,0064400000pNB30AAG,1,5,0,6/6/2018
p13+,500,0,500,Account Executive,Inside Sales,SMB,Healthcare,30,26,0064400000pNDKoAAO,0,672,33,4/30/2021
p0-3,14290,0,NULL,Director of Channel Sales,Enterprise,Enterprise,Technology,350,46,0064400000pNF2uAAG,1,0,3,9/1/2018
p0-3,22,0,22,Senior Account Executive,Raleigh,Coastal,Healthcare,6000,85,0064400000pNHCXAA4,1,0,0,6/11/2018
p4-6,500,0,500,Senior Account Executive,Memphis,Coastal,Retail,175,28,0064400000pNHVKAA4,1,122,5,11/30/2018
p13+,7434,0,7434,Senior Account Executive,Miami,Southern,Education,11000,21,0064400000pMsAQAA0,1,0,19,12/31/2019
p0-3,484,1,1202,Senior Account Executive,Detroit,Mid Western,Retail,1278,54,0064400000pMsKVAA0,1,17,1,6/18/2018
p0-3,555,1,1000,Senior Account Executive,Phoenix,Rocky Mountain,Education,44478,55,0064400000pMsRCAA0,1,6,1,6/7/2018
p0-3,500.4,1,500,Senior Account Executive,Enterprise,Enterprise,Electronics,63,24,0064400000pMuLPAA0,1,36,2,7/6/2018
p0-3,248,1,500,Senior Account Executive,Richmond,Coastal,Transportation,700,39,0064400000pMuOOAA0,1,30,0,5/31/2018
p0-3,78,1,533,Senior Account Executive,Charlotte,Coastal,Construction,350,26,0064400000pMuyXAAS,1,28,1,6/29/2018
p4-6,301,0,500,Senior Account Executive,Raleigh,Coastal,Consulting,121,27,0064400000pk3PFAAY,1,92,4,12/31/2018
p13+,206,1,424,Senior Account Executive,Enterprise,Enterprise,Insurance,750,31,0064400000pk42WAAQ,1,417,26,10/21/2020
p10-12,500,0,NULL,Senior Account Executive,Chicago Loop,Central,Consulting,260,23,0064400000pk565AAA,1,0,10,6/1/2019
p4-6,500,0,500,Senior Account Executive,Richmond,Coastal,Education,4390,56,0064400000pNUWDAA4,1,153,5,11/30/2018
p10-12,481,0,2000,Senior Account Executive,Houston,Red River,US Municipal Governments,520,37,0064400000pNUY4AAO,1,285,10,4/30/2019
p13+,500,0,500,Senior Account Executive,Chattanooga,Coastal,Manufacturing,370,34,0064400000pMwcVAAS,1,0,24,5/29/2020
p0-3,32,1,500,Senior Account Executive,Louisville,Coastal,Healthcare,250,26,0064400000pMwd9AAC,1,14,1,6/14/2018
p0-3,500,0,500,Senior Account Executive,Houston,Red River,Government,13935,58,0064400000pMwI1AAK,1,0,1,6/4/2018
p0-3,625,0,NULL,Senior Account Executive,Raleigh,Coastal,Consulting,121,27,0064400000pMxYjAAK,1,0,3,8/9/2018
p13+,478,0,500,Senior Account Executive,Detroit,Mid Western,Retail,505,44,0064400000pN0QuAAK,1,729,26,7/30/2020
p0-3,525,1,500,NULL,Long Island,New York,Finance,2902,32,0064400000pN0tOAAS,1,30,0,5/31/2018
p0-3,250,0,250,Account Executive,Grand Rapids,Mid Western,Government,650,35,0064400000pN1ofAAC,1,11,2,7/10/2018
p0-3,1916,1,2058,Senior Account Executive,Long Island,New York,Technology,400,41,0064400000pN4XLAA0,1,0,0,5/31/2018
p0-3,11697,1,4599,Senior Account Executive,Dallas,Red River,Technology,9279,57,0064400000pN5GYAA0,1,26,1,6/26/2018
p13+,76,1,500,Account Executive,Inside Sales,SMB,Government,575,35,0064400000pjz5qAAA,1,386,19,3/24/2020
p0-3,300,0,300,Senior Account Executive,Phoenix,Rocky Mountain,Other,1500,25,0064400000pjzUqAAI,1,0,0,8/28/2018
p13+,1,0,66,Senior Account Executive,Louisville,Coastal,Information Technology Services,250,24,0064400000pk03MAAQ,1,439,15,11/13/2019
p0-3,200,0,200,Senior Account Executive,Tampa,Southern,Government,292,22,0064400000pk0wjAAA,1,0,0,8/24/2018
p13+,1000,0,1000,Account Executive,Inside Sales,SMB,Manufacturing,3182,80,0064400000pk2naAAA,1,579,23,7/1/2020
p0-3,154,1,100,Senior Account Executive,Tampa,Southern,Education,444,39,0064400000pk3eoAAA,1,29,0,8/30/2018
p4-6,4214,1,6319,Senior Account Executive,Richmond,Coastal,Other,1500,58,0064400000mpKthAAE,1,92,5,7/1/2018
p0-3,649,1,1495,Senior Account Executive,Charlotte,Coastal,Government,1500,47,0064400000mpKVaAAM,1,9,2,4/9/2018
p0-3,1037,1,500,Senior Account Executive,Louisville,Coastal,Manufacturing,100,24,0064400000mpleMAAQ,1,21,0,3/22/2018
